run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
silver_bullet_live_like_costed_may_jun_2025_btc_15m,silver_bullet,1,1,1.35296,1.5,inf,0.14704,,2.086688,2.0,1.0,1.0,1.0,0.0,False,min_phase_trades;min_total_trades,none:1:1.35296,thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\silver_bullet_live_like_costed_may_jun_2025_btc_15m
silver_bullet_costed_2025_q2_btc_15m,silver_bullet,4,4,0.928186,1.115093,inf,0.186907,,2.280434,2.0,0.5,0.75,0.5,0.25,False,min_phase_trades;min_total_trades,none:4:0.928186,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\silver_bullet_costed_2025_q2_btc_15m
session_open_filtered_fast_retest_may_oct_2025_btc_silver_15m,silver_bullet,49,49,0.447432,,,,,2.754575,2.0,0.367347,0.632653,0.367347,0.530612,,,none:49:0.447432,missing_profit_factor,backtest_results\session_open_filtered_fast_retest_may_oct_2025_btc_silver_15m
session_open_filtered_may_oct_2025_btc_silver_15m,silver_bullet,70,70,0.384631,,,,,3.076119,2.0,0.371429,0.614286,0.371429,0.557143,,,none:70:0.384631,high_invalidation;missing_profit_factor,backtest_results\session_open_filtered_may_oct_2025_btc_silver_15m
silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_quality_gates_may_jun_2025_btc_15m,silver_bullet,2,2,0.25,,,,,2.305698,2.0,0.5,0.5,0.5,0.5,,,none:2:0.25,low_expectancy;missing_profit_factor;thin_sample,backtest_results\silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_quality_gates_may_jun_2025_btc_15m
silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_smoke_may_jun_2025_btc_15m,silver_bullet,2,2,0.25,,,,,2.305698,2.0,0.5,0.5,0.5,0.5,,,none:2:0.25,low_expectancy;missing_profit_factor;thin_sample,backtest_results\silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_smoke_may_jun_2025_btc_15m
silver_bullet_notebooklm_am_pm_htf_poi_quality_gates_may_jun_2025_multi_15m,silver_bullet,4,4,0.25,,,,,1.270471,2.0,0.5,0.5,0.5,0.5,,,none:4:0.25,low_expectancy;missing_profit_factor;thin_sample,backtest_results\silver_bullet_notebooklm_am_pm_htf_poi_quality_gates_may_jun_2025_multi_15m
session_open_depth_fast_may_jun_2025_btc_silver_15m,silver_bullet,84,84,0.142033,,,,,3.120567,2.0,0.333333,0.52381,0.333333,0.654762,,,none:84:0.142033,high_invalidation;low_expectancy;missing_profit_factor,backtest_results\session_open_depth_fast_may_jun_2025_btc_silver_15m
session_open_depth_fast_may_jun_2025_btc_silver_15m_v2,silver_bullet,84,84,0.142033,,,,,3.120567,2.0,0.333333,0.52381,0.333333,0.654762,,,none:84:0.142033,high_invalidation;low_expectancy;missing_profit_factor,backtest_results\session_open_depth_fast_may_jun_2025_btc_silver_15m_v2
session_open_intraday_tradeable_smoke_may_jun_2025_btc_silver_15m,silver_bullet,84,84,0.142033,,,,,3.120567,2.0,0.333333,0.52381,0.333333,0.654762,,,none:84:0.142033,high_invalidation;low_expectancy;missing_profit_factor,backtest_results\session_open_intraday_tradeable_smoke_may_jun_2025_btc_silver_15m
