rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
84,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
85,"min_decision_score=70;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
86,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
87,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,2,false,false,"valid,strong",,
88,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
89,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,2,false,false,"valid,strong","discount,premium",
90,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,70,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
91,"allowed_displacement_grades=valid,strong",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,0,0,false,false,"valid,strong",,
92,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,0,0,false,false,"valid,strong","discount,premium",
93,"min_decision_score=50;allowed_displacement_grades=valid,strong",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,50,0,false,false,"valid,strong",,
