rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
106,"min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,3,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
107,"min_decision_score=50;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,0,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
108,"min_decision_score=50;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,0,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
109,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,2,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
110,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,2,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
111,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,3,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
112,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,50,3,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
113,"min_decision_score=70;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,0,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
114,"min_decision_score=70;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,0,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
115,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,2,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
