rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
53,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,2,false,false,"valid,strong","discount,premium",
54,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
55,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
56,"allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
57,min_target_distance_r=2,67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,2,false,false,,,
58,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
59,"min_target_distance_r=2;allowed_htf_locations=discount,premium",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,2,false,false,,"discount,premium",
60,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
61,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
62,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
63,min_decision_score=50;min_target_distance_r=2,67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,2,false,false,,,
64,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
65,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,2,false,false,,"discount,premium",
66,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,50,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
