model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2025-06-04,14:00-15:00,2,2,2,0,1.501703,1.501703,0.5,2.0,78.0,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,4.0,24.0,27.0,0,0
silver_bullet,2025-06-05,10:00-11:00,2,2,2,0,17.253002,17.253002,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,10.0,,,0,0
silver_bullet,2025-06-05,14:00-15:00,3,3,3,0,5.533642,7.467849,0.333333,2.0,78.0,0.0,-0.166667,-0.166667,0.333333,0.333333,0.333333,0.666667,1.0,6.5,5.0,6.0,0,0
silver_bullet,2025-06-06,14:00-15:00,4,4,4,0,1.631108,1.437358,0.25,2.0,78.0,-0.25,0.0,0.0,0.25,0.5,0.25,0.75,1.0,12.666667,8.5,10.0,0,0
silver_bullet,2025-06-07,10:00-11:00,3,3,3,0,5.146233,2.716693,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,8.0,,,1,0
silver_bullet,2025-06-07,14:00-15:00,2,2,2,0,0.455042,0.455042,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.5,5.0,,,0,0
silver_bullet,2025-06-08,10:00-11:00,3,3,3,0,3.788249,5.248777,0.333333,2.0,78.0,0.0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,1.333333,2.0,2.0,4.0,0,0
silver_bullet,2025-06-08,14:00-15:00,2,2,2,0,2.325358,2.325358,0.0,2.0,78.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,24.0,42.0,,0,0
silver_bullet,2025-06-09,10:00-11:00,3,3,3,0,3.62164,0.214989,0.0,2.0,78.0,-1.0,-0.5,-0.5,0.0,0.333333,0.0,1.0,1.0,10.0,2.0,,0,0
silver_bullet,2025-06-09,14:00-15:00,1,1,1,0,0.428197,0.428197,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2025-06-10,10:00-11:00,1,1,1,0,4.582962,4.582962,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,,,0,0
silver_bullet,2025-06-10,14:00-15:00,1,1,1,0,7.267358,7.267358,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,4.0,6.0,0,0
silver_bullet,2025-06-11,10:00-11:00,2,2,2,0,3.232332,3.232332,0.5,2.0,78.0,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,21.0,6.0,17.0,0,0
silver_bullet,2025-06-11,14:00-15:00,2,2,2,0,2.895282,2.895282,0.5,2.0,78.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,3.0,1.5,3.0,0,0
silver_bullet,2025-06-12,10:00-11:00,1,1,1,0,3.262948,3.262948,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,13.0,4.0,,0,0
silver_bullet,2025-06-12,14:00-15:00,3,3,3,0,8.390149,11.160221,0.333333,2.0,78.0,0.0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,1.0,6.0,7.5,13.0,0,0
silver_bullet,2025-06-13,10:00-11:00,1,1,1,0,1.437796,1.437796,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,11.0,3.0,,0,0
