time,funding_rate,premium
1775102400059,-5.86529e-05,-0.001238446
1775106000030,-4.59646e-05,-0.001035434
1775109600039,-4.39263e-05,-0.0010028215
1775113200070,-7.10135e-05,-0.0014362157
1775116800129,-6.43085e-05,-0.0013289357
1775120400026,-4.37151e-05,-0.0009994422
1775124000051,-5.8225e-05,-0.0012316002
1775127600014,-6.86829e-05,-0.0013989261
1775131200021,-5.74298e-05,-0.0012188766
1775134800075,-5.54578e-05,-0.0011873255
1775138400049,-5.70317e-05,-0.0012125072
1775142000065,-3.47282e-05,-0.0008556506
1775145600040,-2.69092e-05,-0.000730548
1775149200022,-2.73389e-05,-0.0007374225
1775152800037,-3.00143e-05,-0.0007802291
1775156400006,-3.48438e-05,-0.0008575016
1775160000023,-4.21334e-05,-0.0009741344
1775163600131,-4.12349e-05,-0.0009597579
1775167200013,6.25e-06,0.0002358629
1775170800004,-2.26012e-05,-0.0006616192
1775174400021,-2.73965e-05,-0.0007383448
1775178000043,-3.09383e-05,-0.0007950127
1775181600023,-2.63163e-05,-0.0007210604
1775185200048,-2.19342e-05,-0.000650947
1775188800039,-2.73474e-05,-0.0007375585
1775192400086,-2.19591e-05,-0.000651346
1775196000049,-4.19921e-05,-0.0009718733
1775199600028,-4.80621e-05,-0.0010689937
1775203200069,-3.61716e-05,-0.000878746
1775206800054,-3.13046e-05,-0.0008008732
1775210400043,-2.95736e-05,-0.0007731783
1775214000041,-2.77405e-05,-0.000743848
1775217600031,-2.65241e-05,-0.0007243862
1775221200058,-3.47765e-05,-0.0008564235
1775224800001,-1.88351e-05,-0.0006013613
1775228400044,-3.9039e-06,-0.0003624631
1775232000033,4.1371e-06,-0.000233807
1775235600040,6.25e-06,-0.0001038202
1775239200069,6.25e-06,6.59317e-05
1775242800026,6.25e-06,0.0001520634
1775246400036,6.25e-06,6.80972e-05
1775250000048,6.25e-06,-0.0001832198
1775253600031,3.5476e-06,-0.0002432378
1775257200039,-2.05385e-05,-0.0006286158
1775260800063,-1.49215e-05,-0.0005387445
1775264400014,-4.2123e-06,-0.000367397
1775268000021,6.25e-06,-0.0001175048
1775271600064,6.25e-06,0.0001153067
1775275200011,5.0331e-06,-0.0002194705
1775278800063,-8.8739e-06,-0.0004419817
1775282400057,-2.75129e-05,-0.0007402066
1775286000051,-4.69769e-05,-0.0010516307
1775289600033,6.4988e-06,0.0004039812
1775293200008,1.97422e-05,0.0006158756
1775296800029,6.25e-06,0.0002314952
1775300400050,6.25e-06,0.0001469363
1775304000009,6.25e-06,0.0003889546
1775307600107,6.25e-06,-9.19284e-05
1775311200065,-1.72393e-05,-0.0005758291
1775314800008,6.25e-06,-7.72935e-05
1775318400038,6.25e-06,0.0001795421
1775322000041,8.2354e-06,0.0004317662
1775325600064,6.25e-06,0.0001621349
1775329200012,-2.3461e-06,-0.0003375376
1775332800063,8.8789e-06,0.0004420622
1775336400037,6.25e-06,0.0001187591
1775340000032,3.5727e-06,-0.0002428362
1775343600014,6.25e-06,-2.99479e-05
1775347200047,6.25e-06,0.0002272492
1775350800058,6.25e-06,-1.662e-07
1775354400058,-7.5391e-06,-0.000420626
1775358000014,-1.14778e-05,-0.000483645
1775361600022,-9.2308e-06,-0.0004476931
1775365200024,-5.2482e-06,-0.0003839712
1775368800051,6.25e-06,-6.8771e-05
1775372400048,-2.22714e-05,-0.0006563428
1775376000066,-6.013e-06,-0.0003962085
1775379600017,6.25e-06,6.0009e-06
1775383200017,6.25e-06,-3.1052e-06
1775386800024,6.25e-06,-8.13152e-05
1775390400017,-1.2526e-05,-0.0005004161
1775394000047,-5.12757e-05,-0.0011204116
1775397600057,-9.7219e-06,-0.0004555509
1775401200081,7.6136e-06,0.0004218175
1775404800031,6.21613e-05,0.0012945814
1775408400049,4.60105e-05,0.0010361683
1775412000042,6.25e-06,0.0001097047
1775415600041,6.25e-06,0.0003379913
1775419200030,9.20993e-05,0.0017735883
1775422800003,3.89416e-05,0.0009230659
1775426400060,3.67694e-05,0.0008883102
1775430000020,-2.67071e-05,-0.0007273132
1775433600029,-1.79473e-05,-0.0005871562
1775437200040,-2.01381e-05,-0.0006222089
1775440800000,-2.58048e-05,-0.0007128768
1775444400049,-2.22818e-05,-0.0006565084
1775448000002,-2.20836e-05,-0.0006533371
1775451600047,-1.86008e-05,-0.0005976123
1775455200025,-2.48336e-05,-0.0006973368
1775458800064,-2.26503e-05,-0.0006624055
1775462400053,-2.48482e-05,-0.0006975718
1775466000012,-2.1476e-05,-0.0006436167
1775469600006,-1.32114e-05,-0.0005113824
1775473200016,-1.07596e-05,-0.0004721542
1775476800072,-1.0167e-05,-0.0004626716
1775480400031,-1.32727e-05,-0.0005123628
1775484000066,-5.7906e-06,-0.0003926498
1775487600048,6.25e-06,-0.000189773
1775491200056,5.376e-07,-0.0002913982
1775494800002,-4.0971e-06,-0.0003655533
1775498400039,-9.59e-06,-0.0004534394
1775502000000,-1.25759e-05,-0.0005012147
1775505600078,-1.37564e-05,-0.0005201026
1775509200054,-4.567e-06,-0.0003730718
1775512800043,-2.39198e-05,-0.000682717
1775516400021,-3.10318e-05,-0.000796509
1775520000046,-2.25169e-05,-0.0006602705
1775523600015,-2.13216e-05,-0.0006411458
1775527200012,-2.604e-05,-0.0007166406
1775530800093,-2.83339e-05,-0.000753342
1775534400017,-3.07224e-05,-0.000791558
1775538000006,-2.48017e-05,-0.0006968266
1775541600030,-3.41475e-05,-0.0008463605
1775545200064,-3.38122e-05,-0.0008409953
1775548800020,-2.13753e-05,-0.0006420055
1775552400031,-2.52473e-05,-0.0007039566
1775556000005,-1.61844e-05,-0.00055895
1775559600030,-2.04848e-05,-0.0006277565
1775563200037,-2.19797e-05,-0.0006516756
1775566800060,-2.32086e-05,-0.0006713375
1775570400027,-2.21335e-05,-0.0006541367
1775574000041,-1.93514e-05,-0.000609623
1775577600036,-1.19996e-05,-0.000491994
1775581200024,-1.84844e-05,-0.0005957512
1775584800013,-1.5217e-05,-0.0005434715
1775588400017,-7.3698e-06,-0.0004179168
1775592000041,2.004e-06,-0.0002679367
1775595600062,6.25e-06,-9.55981e-05
1775599200029,6.64434e-05,0.0013630948
1775602800038,6.25e-06,5.27215e-05
1775606400094,1.81784e-05,0.0005908545
1775610000057,9.193e-06,0.0004470887
1775613600043,8.4691e-06,0.0004355057
1775617200059,6.25e-06,0.0003585132
1775620800012,6.25e-06,0.0001832253
