time,funding_rate,premium
1771984800039,6.25e-06,-3.77732e-05
1771988400030,6.25e-06,-8.70069e-05
1771992000056,6.25e-06,-0.0001633495
1771995600028,6.25e-06,-0.0001390841
1771999200061,6.25e-06,-6.24284e-05
1772002800000,6.25e-06,-9.36229e-05
1772006400037,6.25e-06,-0.0001272168
1772010000060,6.25e-06,-0.0001819563
1772013600029,6.25e-06,-0.0001818047
1772017200055,6.25e-06,-0.0001617542
1772020800008,6.25e-06,-0.0001575222
1772024400008,6.25e-06,-0.0001493753
1772028000023,6.25e-06,-0.0001070812
1772031600051,6.25e-06,-8.16062e-05
1772035200012,6.25e-06,-0.0001534955
1772038800075,2.6766e-06,-0.0002571739
1772042400088,-9.4724e-06,-0.0004515579
1772046000128,1.7135e-06,-0.0002725843
1772049600055,2.7495e-06,-0.0002560076
1772053200015,6.1134e-06,-0.0002021863
1772056800000,6.25e-06,-6.99877e-05
1772060400045,-4.32698e-05,-0.0009923164
1772064000036,6.25e-06,0.0001674904
1772067600091,6.25e-06,-0.0001292567
1772071200018,6.25e-06,-5.45639e-05
1772074800060,6.25e-06,-0.000139334
1772078400013,6.25e-06,-6.16329e-05
1772082000058,6.25e-06,-8.35216e-05
1772085600099,6.25e-06,-8.0664e-05
1772089200021,6.25e-06,1.10414e-05
1772092800072,6.25e-06,-1.955e-06
1772096400076,6.25e-06,-2.9854e-06
1772100000108,6.25e-06,-0.0001447725
1772103600073,6.25e-06,-6.11343e-05
1772107200041,6.25e-06,-0.0001305909
1772110800051,6.25e-06,-4.75398e-05
1772114400019,6.25e-06,-0.0001247032
1772118000033,6.25e-06,-0.0001991302
1772121600028,6.25e-06,-4.08837e-05
1772125200027,6.25e-06,-0.0001282108
1772128800023,6.25e-06,-0.0001356717
1772132400009,6.25e-06,3.17357e-05
1772136000035,6.25e-06,-0.0001369758
1772139600019,6.25e-06,-0.0001445843
1772143200019,6.25e-06,-0.0001527819
1772146800054,-5.04646e-05,-0.0011074341
1772150400001,6.25e-06,-0.0001889316
1772154000078,6.25e-06,-9.76197e-05
1772157600016,6.25e-06,-0.0001480598
1772161200116,6.25e-06,-0.0001433268
1772164800057,6.25e-06,-0.0001203543
1772168400058,6.25e-06,-0.0001430281
1772172000053,5.856e-06,-0.0002063047
1772175600067,5.4672e-06,-0.000212525
1772179200017,4.6331e-06,-0.000225871
1772182800026,6.25e-06,-0.0001659982
1772186400074,6.25e-06,-0.0001284903
1772190000078,6.25e-06,-0.0001803517
1772193600028,6.25e-06,-0.0001360739
1772197200020,3.5879e-06,-0.0002425934
1772200800036,6.25e-06,-0.0001107497
1772204400054,3.123e-07,-0.0002950025
1772208000132,-3.1126e-06,-0.0003498016
1772211600041,6.25e-06,-0.0001922749
1772215200037,1.9285e-06,-0.0002691438
1772218800012,3.842e-07,-0.000293853
1772222400028,3.717e-07,-0.0002940521
1772226000037,-5.7698e-06,-0.0003923173
1772229600023,-5.7543e-06,-0.0003920683
1772233200014,6.25e-06,5.58395e-05
1772236800086,-3.2514e-05,-0.0008202234
1772240400090,-9.6829e-06,-0.0004549256
1772244000058,-7.6861e-05,-0.0015297759
1772247600012,-5.89152e-05,-0.0012426427
1772251200088,3.67051e-05,0.0008872811
1772254800063,-6.833e-07,-0.0003109335
1772258400065,-2.72058e-05,-0.0007352926
1772262000026,-1.81535e-05,-0.0005904557
1772265600028,-6.21949e-05,-0.0012951176
1772269200012,-7.99615e-05,-0.0015793835
1772272800008,-0.0001130919,-0.0021094711
1772276400008,-4.53432e-05,-0.0010254913
1772280000032,-0.000100434,-0.0019069442
1772283600035,6.25e-06,0.0003532071
1772287200033,8.7172e-05,0.0016947514
1772290800021,3.36437e-05,0.0008383
1772294400041,2.7833e-06,-0.0002554674
1772298000025,6.25e-06,0.0001799439
1772301600015,2.90917e-05,0.0007654675
1772305200074,6.25e-06,0.0002418064
1772308800039,6.25e-06,0.000371798
1772312400041,0.0001674092,0.0029785466
1772316000035,4.25452e-05,0.0009807235
1772319600066,0.0001549398,0.0027790373
1772323200168,8.7922e-06,0.0004406749
1772326800024,-3.28885e-05,-0.0008262161
1772330400052,-8.63902e-05,-0.0016822426
1772334000074,3.55225e-05,0.0008683606
1772337600034,5.12465e-05,0.0011199441
1772341200052,1.80545e-05,0.0005888717
1772344800071,6.25e-06,0.0002088126
1772348400018,6.25e-06,0.0002693427
1772352000093,6.25e-06,-7.9173e-06
1772355600017,-1.1654e-06,-0.000318647
1772359200018,-1.69227e-05,-0.0005707632
1772362800017,-2.59986e-05,-0.0007159776
1772366400039,6.25e-06,-1.54214e-05
1772370000054,6.25e-06,8.57743e-05
1772373600029,6.25e-06,-0.0001794755
1772377200027,6.25e-06,-0.0001740573
1772380800018,2.9239e-06,-0.0002532168
1772384400120,6.25e-06,-0.0001111389
1772388000070,6.25e-06,-0.0001856575
1772391600062,-7.35198e-05,-0.001476317
1772395200026,-4.41945e-05,-0.0010071114
1772398800065,-0.0001161101,-0.0021577614
1772402400085,-7.78764e-05,-0.0015460221
1772406000005,6.25e-06,8.78542e-05
1772409600044,6.25e-06,0.0002864632
1772413200048,1.62487e-05,0.0005599799
1772416800044,6.25e-06,8.24276e-05
1772420400063,-9.849e-07,-0.0003157584
1772424000048,-1.07589e-05,-0.0004721432
1772427600071,1.9459e-06,-0.0002688656
1772431200062,-3.0615e-06,-0.0003489842
1772434800054,6.25e-06,-0.0001614501
1772438400003,6.25e-06,-0.0001106625
1772442000091,4.9649e-06,-0.0002205618
1772445600007,-1.0411e-06,-0.000316657
1772449200019,4.1652e-06,-0.0002333573
1772452800016,1.4733e-06,-0.0002764277
1772456400034,4.9201e-06,-0.0002212778
1772460000035,-6.1572e-06,-0.0003985147
1772463600070,-5.235e-07,-0.0003083757
1772467200053,-3.9432e-06,-0.0003630906
1772470800086,-1.493e-07,-0.0003023894
1772474400025,-2.724e-06,-0.0003435842
1772478000044,3.2231e-06,-0.0002484297
1772481600120,6.25e-06,-3.82583e-05
1772485200038,3.7568e-06,-0.0002398914
1772488800033,6.25e-06,-0.0001827314
1772492400068,6.25e-06,8.70303e-05
1772496000062,6.25e-06,-6.12447e-05
1772499600052,4.9366e-06,-0.0002210146
1772503200011,-1.9504e-06,-0.0003312066
1772506800058,6.25e-06,-0.0001738587
1772510400010,6.25e-06,-0.0001473033
1772514000074,3.1379e-06,-0.0002497931
1772517600050,6.25e-06,-0.000114847
1772521200069,6.25e-06,-0.0001084243
1772524800009,4.4007e-06,-0.0002295885
1772528400114,6.25e-06,-0.0001838884
1772532000046,5.5672e-06,-0.000210925
1772535600006,4.8493e-06,-0.0002224104
1772539200013,6.1234e-06,-0.0002020264
1772542800012,4.8907e-06,-0.0002217487
1772546400039,6.0039e-06,-0.0002039378
1772550000007,9.182e-07,-0.0002853093
1772553600004,-1.17403e-05,-0.0004878441
1772557200041,-2.47119e-05,-0.0006953902
1772560800015,-2.68235e-05,-0.000729176
1772564400049,6.85e-08,-0.0002989046
1772568000007,4.7034e-06,-0.0002247455
1772571600014,-1.3772e-06,-0.0003220355
1772575200070,-4.687e-06,-0.0003749923
1772578800016,3.0486e-06,-0.0002512231
1772582400034,-2.4076e-06,-0.0003385221
1772586000049,-2.2304e-06,-0.0003356867
1772589600060,-1.5415e-06,-0.0003246634
1772593200052,-6.3026e-06,-0.0004008421
1772596800001,-7.5028e-06,-0.0004200442
1772600400064,-8.0506e-06,-0.00042881
1772604000079,-1.05936e-05,-0.0004694974
1772607600095,-1.57729e-05,-0.0005523672
1772611200047,-3.61316e-05,-0.0008781061
1772614800010,-1.01986e-05,-0.0004631771
1772618400069,-6.759e-06,-0.0004081436
1772622000024,6.25e-06,-0.0001349006
1772625600133,3.0415e-06,-0.0002513355
1772629200019,6.25e-06,-0.0001964838
1772632800036,6.25e-06,-0.0001362058
1772636400023,6.2388e-06,-0.0002001788
1772640000011,6.25e-06,8.56857e-05
1772643600095,6.25e-06,3.55707e-05
1772647200092,6.25e-06,-0.0001601604
1772650800093,4.0839e-06,-0.0002346574
1772654400047,4.246e-06,-0.0002320642
1772658000048,4.0865e-06,-0.0002346162
1772661600024,-2.838e-06,-0.0003454082
1772665200045,6.25e-06,-9.1848e-05
1772668800022,-2.1985e-06,-0.0003351752
1772672400018,6.25e-06,0.0001365031
1772676000139,6.25e-06,2.51391e-05
1772679600019,6.25e-06,-4.64234e-05
1772683200027,6.25e-06,-3.1179e-06
1772686800001,6.25e-06,-4.42834e-05
1772690400037,6.25e-06,-0.0001780813
1772694000091,4.7406e-06,-0.0002241507
1772697600033,5.7266e-06,-0.000208375
1772701200063,4.4629e-06,-0.0002285932
